,id,genre_ids,name
14211,553593,28,Action
14212,217665,53,Thriller
14213,217665,27,Horror
14214,94363,35,Comedy
14215,94363,18,Drama
14216,812037,18,Drama
14217,504949,18,Drama
14218,504949,36,History
14219,504949,10752,War
14220,473900,99,Documentary
14221,473900,10402,Music
14222,45298,18,Drama
14223,45298,10751,Family
14224,45298,37,Western
14225,146353,18,Drama
14226,386459,28,Action
14227,386459,12,Adventure
14228,386459,53,Thriller
14229,317334,18,Drama
14230,508829,,
14231,19458,10751,Family
14232,19458,10770,TV Movie
14233,19458,35,Comedy
14234,19458,18,Drama
14235,542917,18,Drama
14236,542917,53,Thriller
14237,62568,18,Drama
14238,27029,18,Drama
14239,1131324,,
14240,38778,35,Comedy
14241,25006,80,Crime
14242,25006,28,Action
14243,25006,18,Drama
14244,11377,27,Horror
14245,108211,18,Drama
14246,108211,80,Crime
14247,108211,10770,TV Movie
14248,42888,35,Comedy
14249,42888,18,Drama
14250,42888,10749,Romance
14251,354263,35,Comedy
14252,354263,14,Fantasy
14253,354263,27,Horror
14254,78550,37,Western
14255,63228,35,Comedy
14256,63228,18,Drama
14257,566810,14,Fantasy
14258,566810,12,Adventure
14259,566810,878,Science Fiction
14260,566810,28,Action
14261,833449,10749,Romance
14262,345684,99,Documentary
14263,464588,16,Animation
14264,464588,36,History
14265,120648,18,Drama
14266,57578,18,Drama
14267,33632,18,Drama
14268,33632,10749,Romance
14269,1554576,9648,Mystery
14270,32686,35,Comedy
14271,32686,18,Drama
14272,32686,99,Documentary
14273,22752,16,Animation
14274,22752,10751,Family
14275,22752,35,Comedy
14276,953653,99,Documentary
14277,1072342,27,Horror
14278,857908,53,Thriller
14279,857908,10770,TV Movie
14280,51854,28,Action
14281,51854,878,Science Fiction
14282,18446,18,Drama
14283,18446,10749,Romance
14284,18446,10752,War
14285,593660,35,Comedy
14286,593660,10751,Family
14287,38321,28,Action
14288,38321,14,Fantasy
14289,38321,27,Horror
14290,38321,53,Thriller
14291,764798,12,Adventure
14292,764798,35,Comedy
14293,764798,878,Science Fiction
14294,567797,80,Crime
14295,567797,53,Thriller
14296,567797,9648,Mystery
14297,10542,35,Comedy
14298,10542,27,Horror
14299,773191,35,Comedy
14300,773191,12,Adventure
14301,292218,18,Drama
14302,1551778,99,Documentary
14303,1551778,36,History
14304,833237,35,Comedy
14305,11861,18,Drama
14306,11861,10749,Romance
14307,1063881,18,Drama
14308,1063881,10402,Music
14309,375107,16,Animation
14310,375107,10751,Family
14311,375107,12,Adventure
14312,375107,35,Comedy
14313,300902,53,Thriller
14314,300902,27,Horror
14315,300902,9648,Mystery
14316,740985,35,Comedy
14317,953657,99,Documentary
14318,891728,18,Drama
14319,891728,35,Comedy
14320,814064,35,Comedy
14321,808396,53,Thriller
14322,808396,28,Action
14323,808396,80,Crime
14324,952892,99,Documentary
14325,259072,27,Horror
14326,11357,27,Horror
14327,11357,53,Thriller
14328,253020,10752,War
14329,253020,36,History
14330,253020,18,Drama
14331,1388808,27,Horror
14332,1388808,28,Action
14333,1388808,53,Thriller
14334,436391,28,Action
14335,436391,36,History
14336,436391,18,Drama
14337,436391,10752,War
14338,37103,12,Adventure
14339,37103,10752,War
14340,37103,18,Drama
14341,9722,35,Comedy
14342,9722,14,Fantasy
14343,9722,10749,Romance
14344,526007,53,Thriller
14345,526007,80,Crime
14346,526007,18,Drama
14347,55835,18,Drama
14348,102082,18,Drama
14349,102082,10752,War
14350,102082,36,History
14351,895,18,Drama
14352,895,36,History
14353,444932,27,Horror
14354,444932,53,Thriller
14355,1003598,878,Science Fiction
14356,14156,53,Thriller
14357,14156,10749,Romance
14358,14156,18,Drama
14359,278818,10751,Family
14360,278818,10402,Music
14361,278818,12,Adventure
